species,file,sequence,start,end,strand,gene,coverage,coverage_map,gaps,coverage_pec,identity_perc,database,accession,product,resistance,record
E.  coli 92M3,genome44.fasta,NODE_13_length_146153_cov_3.977378,129235,132828,-,evgS,1-3594/3594,===============,0/0,100.0,96.63,card,U00096:2484373-2487967,EvgS is a sensor protein that phosphorylates the regulatory protein EvgA. evgS corresponds to 1 locus in Pseudomonas aeruginosa PAO1 and 1 locus in Pseudomonas aeruginosa LESB58.,fluoroquinolone;macrolide;penam;tetracycline,92M3
E.  coli 92M3,genome44.fasta,NODE_13_length_146153_cov_3.977378,132833,133447,-,evgA,1-615/615,===============,0/0,100.0,99.19,card,BA000007.3:3212025-3212640,EvgA when phosphorylated is a positive regulator for efflux protein complexes emrKY and mdtEF. While usually phosphorylated in a EvgS dependent manner it can be phosphorylated in the absence of EvgS when overexpressed.,fluoroquinolone;macrolide;penam;tetracycline,92M3
E.  coli 92M3,genome44.fasta,NODE_13_length_146153_cov_3.977378,133971,135026,+,emrK,1-1056/1056,===============,0/0,100.0,96.97,card,D78168:536-1592,emrK is a membrane fusion protein that is a homolog of EmrA. Together with the inner membrane transporter EmrY and the outer membrane channel TolC it mediates multidrug efflux.,tetracycline,92M3
E.  coli 92M3,genome44.fasta,NODE_13_length_146153_cov_3.977378,135026,136564,+,emrY,1-1539/1539,===============,0/0,100.0,97.4,card,D78168:1591-3130,emrY is a multidrug transport that moves substrates across the inner membrane of the Gram-negative E. coli. It is a homolog of emrB.,tetracycline,92M3
E.  coli 92M3,genome44.fasta,NODE_14_length_137874_cov_4.779662,96536,97909,+,cpxA,1-1374/1374,===============,0/0,100.0,97.82,card,BA000007.3:4905062-4903688,CpxA is a membrane-localized sensor kinase that is activated by envelope stress. It starts a kinase cascade that activates CpxR which promotes efflux complex expression.,aminocoumarin;aminoglycoside,92M3
E.  coli 92M3,genome44.fasta,NODE_16_length_124201_cov_4.180932,93064,94602,-,emrB,1-1539/1539,===============,0/0,100.0,98.25,card,U00096:2812615-2814154,emrB is a translocase in the emrB -TolC efflux protein in E. coli. It recognizes substrates including carbonyl cyanide m-chlorophenylhydrazone (CCCP) nalidixic acid and thioloactomycin.,fluoroquinolone,92M3
E.  coli 92M3,genome44.fasta,NODE_16_length_124201_cov_4.180932,94619,95791,-,emrA,1-1173/1173,===============,0/0,100.0,98.21,card,AP009048:2810082-2811255,EmrA is a membrane fusion protein providing an efflux pathway with EmrB and TolC between the inner and outer membranes of E. coli a Gram-negative bacterium.,fluoroquinolone,92M3
E.  coli 92M3,genome44.fasta,NODE_16_length_124201_cov_4.180932,95918,96448,-,emrR,1-531/531,===============,0/0,100.0,99.44,card,U00096.3:2810769-2811300,EmrR is a negative regulator for the EmrAB-TolC multidrug efflux pump in E. coli. Mutations lead to EmrAB-TolC overexpression.,fluoroquinolone,92M3
E.  coli 92M3,genome44.fasta,NODE_1_length_416483_cov_3.518031,403289,403672,-,marA,1-384/384,===============,0/0,100.0,99.74,card,AP009048.1:1621287-1621671,In the presence of antibiotic stress E. coli overexpresses the global activator protein MarA which besides inducing MDR efflux pump AcrAB also down- regulates synthesis of the porin OmpF.,carbapenem;cephalosporin;cephamycin;fluoroquinolone;glycylcycline;monobactam;penam;penem;phenicol;rifamycin;tetracycline;triclosan,92M3
E.  coli 92M3,genome44.fasta,NODE_28_length_48482_cov_3.809231,8638,9864,-,mdtG,1-1227/1227,===============,0/0,100.0,97.96,card,CP000800.1:1192954-1191727,The MdtG protein also named YceE appears to be a member of the major facilitator superfamily of transporters and it has been reported when overexpressed to increase fosfomycin and deoxycholate resistances. mdtG is a member of the marA-soxS-rob regulon.,fosfomycin,92M3
E.  coli 92M3,genome44.fasta,NODE_28_length_48482_cov_3.809231,18495,19703,-,mdtH,1-1209/1209,===============,0/0,100.0,98.18,card,U00096:1125326-1124117,Multidrug resistance protein MdtH,fluoroquinolone,92M3
E.  coli 92M3,genome44.fasta,NODE_2_length_392680_cov_3.751903,55313,56956,+,yojI,1-1644/1644,===============,0/0,100.0,97.26,card,U00096.3:2308615-2306971,YojI mediates resistance to the peptide antibiotic microcin J25 when it is expressed from a multicopy vector. YojI is capable of pumping out microcin molecules.  The outer membrane protein TolC in addition to YojI is required for export of microcin J25 out of the cell. Microcin J25 is thus the first known substrate for YojI.,peptide,92M3
E.  coli 92M3,genome44.fasta,NODE_2_length_392680_cov_3.751903,199527,200248,-,baeR,1-722/723,===============,0/0,99.86,98.2,card,AP009048.1:2166412-2167135,BaeR is a response regulator that promotes the expression of MdtABC and AcrD efflux complexes.,aminocoumarin;aminoglycoside,92M3
E.  coli 92M3,genome44.fasta,NODE_2_length_392680_cov_3.751903,200245,201648,-,baeS,1-1404/1404,===============,0/0,100.0,97.65,card,AP009048:2165012-2166416,BaeS is a sensor kinase in the BaeSR regulatory system. While it phosphorylates BaeR to increase its activity BaeS is not necessary for overexpressed BaeR to confer resistance.,aminocoumarin;aminoglycoside,92M3
E.  coli 92M3,genome44.fasta,NODE_2_length_392680_cov_3.751903,203061,206138,-,mdtC,1-3078/3078,===============,0/0,100.0,96.49,card,U00096:2158385-2161463,MdtC is a transporter that forms a heteromultimer complex with MdtB to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex. In the absence of MdtB MdtC can form a homomultimer complex that results in a functioning efflux complex with a narrower drug specificity. mdtC corresponds to 3 loci in Pseudomonas aeruginosa PAO1 (gene name: muxC/muxB) and 3 loci in Pseudomonas aeruginosa LESB58.,aminocoumarin,92M3
E.  coli 92M3,genome44.fasta,NODE_2_length_392680_cov_3.751903,206139,209261,-,mdtB,1-3123/3123,===============,0/0,100.0,96.7,card,U00096:2155262-2158385,MdtB is a transporter that forms a heteromultimer complex with MdtC to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex.,aminocoumarin,92M3
E.  coli 92M3,genome44.fasta,NODE_2_length_392680_cov_3.751903,209261,210508,-,mdtA,1-1248/1248,===============,0/0,100.0,97.36,card,U00096:2154015-2155263,MdtA is the membrane fusion protein of the multidrug efflux complex mdtABC.,aminocoumarin,92M3
E.  coli 92M3,genome44.fasta,NODE_2_length_392680_cov_3.751903,261627,262793,+,ugd,1-1167/1167,===============,0/0,100.0,95.97,card,U00096:2099613-2098446,PmrE is required for the synthesis and transfer of 4-amino-4-deoxy-L-arabinose (Ara4N) to Lipid A which allows gram-negative bacteria to resist the antimicrobial activity of cationic antimicrobial peptides and antibiotics such as polymyxin,peptide,92M3
E.  coli 92M3,genome44.fasta,NODE_3_length_342386_cov_4.489157,109641,111128,+,tolC,1-1488/1488,===============,0/0,100.0,98.52,card,FJ768952:0-1488,TolC is a protein subunit of many multidrug efflux complexes in Gram negative bacteria. It is an outer membrane efflux protein and is constitutively open. Regulation of efflux activity is often at its periplasmic entrance by other components of the efflux complex.,aminocoumarin;aminoglycoside;carbapenem;cephalosporin;cephamycin;fluoroquinolone;glycylcycline;macrolide;penam;penem;peptide;phenicol;rifamycin;tetracycline;triclosan,92M3
E.  coli 92M3,genome44.fasta,NODE_3_length_342386_cov_4.489157,131474,132293,-,bacA,1-820/822,===============,0/0,99.76,97.68,card,U00096.3:3204131-3203309,The bacA gene product (BacA) recycles undecaprenyl pyrophosphate during cell wall biosynthesis which confers resistance to bacitracin.,peptide,92M3
E.  coli 92M3,genome44.fasta,NODE_3_length_342386_cov_4.489157,331831,332493,-,acrS,1-663/663,===============,0/0,100.0,96.98,card,U00096:3413465-3412802,AcrS is a repressor of the AcrAB efflux complex and is associated with the expression of AcrEF. AcrS is believed to regulate a switch between AcrAB and AcrEF efflux.,cephalosporin;cephamycin;fluoroquinolone;glycylcycline;penam;phenicol;rifamycin;tetracycline;triclosan,92M3
E.  coli 92M3,genome44.fasta,NODE_3_length_342386_cov_4.489157,332892,334049,+,acrE,1-1158/1158,===============,0/0,100.0,98.79,card,U00096:3413863-3415021,AcrE is a membrane fusion protein similar to AcrA.,cephalosporin;cephamycin;fluoroquinolone;penam,92M3
E.  coli 92M3,genome44.fasta,NODE_3_length_342386_cov_4.489157,334061,337165,+,acrF,1-3105/3105,===============,0/0,100.0,97.97,card,U00096:3415032-3418137,AcrF is a inner membrane transporter similar to AcrB.,cephalosporin;cephamycin;fluoroquinolone;penam,92M3
E.  coli 92M3,genome44.fasta,NODE_4_length_263620_cov_4.200747,65888,67081,+,Escherichia_coli_acrA,1-1194/1194,===============,0/0,100.0,99.0,card,U00096.3:485619-484425,AcrA is a subunit of the AcrAB-TolC multidrug efflux system that in E. coli.,cephalosporin;fluoroquinolone;glycylcycline;penam;phenicol;rifamycin;tetracycline;triclosan,92M3
E.  coli 92M3,genome44.fasta,NODE_4_length_263620_cov_4.200747,67104,70253,+,acrB,1-3150/3150,===============,0/0,100.0,98.98,card,U00096.3:484403-481253,Protein subunit of AcrA-AcrB-TolC multidrug efflux complex. AcrB functions as a herterotrimer which forms the inner membrane component and is primarily responsible for substrate recognition and energy transduction by acting as a drug/proton antiporter.,cephalosporin;fluoroquinolone;glycylcycline;penam;phenicol;rifamycin;tetracycline;triclosan,92M3
E.  coli 92M3,genome44.fasta,NODE_4_length_263620_cov_4.200747,158749,159906,+,Escherichia_coli_ampH,1-1158/1158,===============,0/0,100.0,96.72,card,AP012030.1:396711-395553,AmpH is a class C ampC-like beta-lactamase and penicillin-binding protein identified in Escherichia coli.,cephalosporin;penam,92M3
E.  coli 92M3,genome44.fasta,NODE_5_length_260920_cov_4.161164,146957,148189,+,Escherichia_coli_mdfA,1-1233/1233,===============,0/0,100.0,96.03,card,JQ394987:0-1233,Multidrug efflux pump in E. coli. This multidrug efflux system was originally identified as the Cmr/CmlA chloramphenicol exporter.,benzalkonium_chloride;rhodamine;tetracycline,92M3
E.  coli 92M3,genome44.fasta,NODE_5_length_260920_cov_4.161164,234344,236092,+,msbA,1-1749/1749,===============,0/0,100.0,98.8,card,U00096.3:966620-968369,MsbA is a multidrug resistance transporter homolog from E. coli and belongs to a superfamily of transporters that contain an adenosine triphosphate (ATP) binding cassette (ABC) which is also called a nucleotide-binding domain (NBD). MsbA is a member of the MDR-ABC transporter group by sequence homology. MsbA transports lipid A a major component of the bacterial outer cell membrane and is the only bacterial ABC transporter that is essential for cell viability.,nitroimidazole,92M3
E.  coli 92M3,genome44.fasta,NODE_73_length_4101_cov_5.696152,724,1929,-,tet(B),1-1206/1206,===============,0/0,100.0,99.75,card,AB089595:0-1206,Tet(B) is a tetracycline efflux protein expressed in many Gram-negative bacteria. It confers resistance to tetracycline doxycycline and minocycline but not tigecycline.,tetracycline,92M3
E.  coli 92M3,genome44.fasta,NODE_75_length_2928_cov_4.126546,1962,2777,+,sul2,1-816/816,===============,0/0,100.0,99.63,card,AY055428.1:21084-20268,Sul2 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria usually found on small plasmids.,sulfonamide,92M3
E.  coli 92M3,genome44.fasta,NODE_79_length_2193_cov_5.314231,1594,2007,+,H-NS,1-414/414,===============,0/0,100.0,99.52,card,BA000007.3:1738104-1737690,H-NS is a histone-like protein involved in global gene regulation in Gram-negative bacteria. It is a repressor of the membrane fusion protein genes acrE mdtE and emrK as well as nearby genes of many RND-type multidrug exporters.,cephalosporin;cephamycin;fluoroquinolone;macrolide;penam;tetracycline,92M3
E.  coli 92M3,genome44.fasta,NODE_7_length_223168_cov_4.754116,464,1288,+,gadX,1-825/825,===============,0/0,100.0,96.85,card,AP009048.1:3974604-3975429,GadX is an AraC-family regulator that promotes mdtEF expression to confer multidrug resistance.,fluoroquinolone;macrolide;penam,92M3
E.  coli 92M3,genome44.fasta,NODE_7_length_223168_cov_4.754116,1657,2385,+,gadW,1-729/729,===============,0/0,100.0,95.75,card,CP015085.1:2552440-2551711,GadW is an AraC-family regulator that promotes mdtEF expression to confer multidrug resistance. GadW inhibits GadX-dependent activation. GadW clearly represses gadX and in situations where GadX is missing activates gadA and gadBC.,fluoroquinolone;macrolide;penam,92M3
E.  coli 92M3,genome44.fasta,NODE_7_length_223168_cov_4.754116,2748,5861,-,mdtF,1-3114/3114,===============,0/0,100.0,98.23,card,U00096:3660413-3663527,MdtF is the multidrug inner membrane transporter for the MdtEF-TolC efflux complex.,fluoroquinolone;macrolide;penam,92M3
E.  coli 92M3,genome44.fasta,NODE_7_length_223168_cov_4.754116,5886,7043,-,mdtE,1-1158/1158,===============,0/0,100.0,98.53,card,AP009048.1:3981183-3980025,MdtE is the membrane fusion protein of the MdtEF multidrug efflux complex. It shares 70% sequence similarity with AcrA.,fluoroquinolone;macrolide;penam,92M3
E.  coli 92M3,genome44.fasta,NODE_7_length_223168_cov_4.754116,207437,208069,-,CRP,1-633/633,===============,0/0,100.0,99.05,card,AP009048.1:4154296-4153663,CRP is a global regulator that represses MdtEF multidrug efflux pump expression.,fluoroquinolone;macrolide;penam,92M3
E.  coli 92M3,genome44.fasta,NODE_84_length_1916_cov_6.678908,522,1382,+,TEM-1,1-861/861,===============,0/0,100.0,99.88,card,AL513383:161910-162771,TEM-1 is a broad-spectrum beta-lactamase found in many Gram-negative bacteria. Confers resistance to penicillins and first generation cephalosphorins.,cephalosporin;monobactam;penam;penem,92M3
E.  coli 92M3,genome44.fasta,NODE_8_length_212094_cov_4.483143,182338,183570,+,mdtM,1-1233/1233,===============,0/0,100.0,100.0,card,U00096.3:4568519-4567286,Multidrug resistance protein MdtM,acridine_dye;fluoroquinolone;lincosamide;nucleoside;phenicol,92M3
E.  coli 92M3,genome44.fasta,NODE_9_length_210410_cov_4.794167,48453,49586,+,Escherichia_coli_ampC,1-1134/1134,===============,0/0,100.0,97.97,card,U00096.3:4378944-4377810,A class C ampC beta-lactamase (cephalosporinase) enzyme described in Escherichia coli shown clinically to confer resistance to penicillin-like and cephalosporin-class antibiotics.,cephalosporin;penam,92M3
E.  coli 92M3,genome44.fasta,NODE_9_length_210410_cov_4.794167,91497,93140,+,eptA,1-1644/1644,===============,0/0,100.0,98.11,card,AP009048:4340268-4338624,PmrC mediates the modification of Lipid A by the addition of 4-amino-4-deoxy-L-arabinose (L-Ara4N) and phosphoethanolamine resulting in a less negative cell membrane and decreased binding of polymyxin B.,peptide,92M3
E.  coli 92M3,genome44.fasta,NODE_9_length_210410_cov_4.794167,115684,116715,+,mdtN,1-1032/1032,===============,0/0,100.0,97.87,card,AP009048.1:4307588-4306556,Multidrug resistance efflux pump. Could be involved in resistance to puromycin acriflavine and tetraphenylarsonium chloride.,acridine_dye;nucleoside,92M3
E.  coli 92M3,genome44.fasta,NODE_9_length_210410_cov_4.794167,116715,118766,+,mdtO,1-2052/2052,===============,0/0,100.0,96.78,card,AP009048.1:4306557-4304505,Multidrug resistance efflux pump. Could be involved in resistance to puromycin acriflavine and tetraphenylarsonium chloride,acridine_dye;nucleoside,92M3
E.  coli 92M3,genome44.fasta,NODE_9_length_210410_cov_4.794167,118763,120229,+,mdtP,1-1467/1467,===============,0/0,100.0,96.86,card,AP009048.1:4304509-4303042,Multidrug resistance efflux pump. Could be involved in resistance to puromycin acriflavine and tetraphenylarsonium chloride,acridine_dye;nucleoside,92M3
K. pneumoniae 125M3,genome41.fasta,NODE_10_length_142473_cov_5.352972,39966,41120,-,Klebsiella_pneumoniae_OmpK37,1-1125/1125,========/======,7/32,99.91,95.24,card,AJ011502.1:300-1425,Klebsiella pneumoniae outer membrane porin protein. Is preferentially detected in porin-deficient strains. Functional characterization of this new porin revealed a narrower pore than those of porins OmpK35 and OmpK36 which did not allow penetration by certain beta-lactams. Also when a resistant strain expresses porin OmpK37 is less susceptible to cefotaxime and cefoxitin than when it is expressing either OmpK36 or OmpK35.,carbapenem;cephalosporin;cephamycin;monobactam;penam;penem,125M3
K. pneumoniae 125M3,genome41.fasta,NODE_11_length_137873_cov_6.606595,27157,28905,+,msbA,1-1749/1749,===============,0/0,100.0,80.62,card,U00096.3:966620-968369,MsbA is a multidrug resistance transporter homolog from E. coli and belongs to a superfamily of transporters that contain an adenosine triphosphate (ATP) binding cassette (ABC) which is also called a nucleotide-binding domain (NBD). MsbA is a member of the MDR-ABC transporter group by sequence homology. MsbA transports lipid A a major component of the bacterial outer cell membrane and is the only bacterial ABC transporter that is essential for cell viability.,nitroimidazole,125M3
K. pneumoniae 125M3,genome41.fasta,NODE_1_length_627399_cov_7.351127,5436,6611,+,oqxA,1-1176/1176,===============,0/0,100.0,100.0,card,EU370913.1:46651-47827,RND efflux pump conferring resistance to fluoroquinolone,diaminopyrimidine;fluoroquinolone;glycylcycline;nitrofuran;tetracycline,125M3
K. pneumoniae 125M3,genome41.fasta,NODE_1_length_627399_cov_7.351127,6635,9787,+,oqxB,1-3153/3153,===============,0/0,100.0,100.0,card,EU370913.1:47850-51003,RND efflux pump conferring resistance to fluoroquinolone,diaminopyrimidine;fluoroquinolone;glycylcycline;nitrofuran;tetracycline,125M3
K. pneumoniae 125M3,genome41.fasta,NODE_1_length_627399_cov_7.351127,54057,54566,+,emrR,1-510/531,===============,0/0,96.05,83.14,card,U00096.3:2810769-2811300,EmrR is a negative regulator for the EmrAB-TolC multidrug efflux pump in E. coli. Mutations lead to EmrAB-TolC overexpression.,fluoroquinolone,125M3
K. pneumoniae 125M3,genome41.fasta,NODE_1_length_627399_cov_7.351127,54713,55885,+,Klebsiella_pneumoniae_KpnG,1-1173/1173,===============,0/0,100.0,99.49,card,ACWO01000051.1:22092-23265,KpnG consists of ~390 residues and resembles EmrA of E. coli. Disruption of the pump components KpnG-KpnH signficantly decrease resistance to azithromycin ceftazidime ciprofloxacin ertapenem erythromycin gentamicin imipenem ticarcillin norfloxacin polymyxin-B piperacillin spectinomycin tobramycin and streptomycin,aminoglycoside;carbapenem;cephalosporin;fluoroquinolone;macrolide;penam;penem;peptide,125M3
K. pneumoniae 125M3,genome41.fasta,NODE_1_length_627399_cov_7.351127,55901,57439,+,Klebsiella_pneumoniae_KpnH,1-1539/1539,========/======,2/2,99.94,84.22,card,ASTU01000063.1:61248-62787,KpnH consists of ~511 residues resembles EmrB of E. coli and is probably a translocase in the KpnGH-TolC efflux protein in K. pneumoniae. Disruption of the pump components KpnG-KpnH signficantly decrease resistance to azithromycin ceftazidime ciprofloxacin ertapenem erythromycin gentamicin imipenem ticarcillin norfloxacin polymyxin-B piperacillin spectinomycin tobramycin and streptomycin.,aminoglycoside;carbapenem;cephalosporin;fluoroquinolone;macrolide;penam;penem;peptide,125M3
K. pneumoniae 125M3,genome41.fasta,NODE_20_length_99473_cov_8.944080,55906,57272,-,cpxA,1-1367/1374,===============,0/0,99.49,82.08,card,BA000007.3:4905062-4903688,CpxA is a membrane-localized sensor kinase that is activated by envelope stress. It starts a kinase cascade that activates CpxR which promotes efflux complex expression.,aminocoumarin;aminoglycoside,125M3
K. pneumoniae 125M3,genome41.fasta,NODE_23_length_91321_cov_13.537337,88440,89255,+,sul2,1-816/816,===============,0/0,100.0,100.0,card,AY055428.1:21084-20268,Sul2 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria usually found on small plasmids.,sulfonamide,125M3
K. pneumoniae 125M3,genome41.fasta,NODE_23_length_91321_cov_13.537337,89316,90119,+,APH(3'')-Ib,1-804/804,===============,0/0,100.0,99.75,card,AF313472:15593-16397,APH(3'')-Ib is an aminoglycoside phosphotransferase encoded by plasmids transposons integrative conjugative elements and chromosomes in Enterobacteriaceae and Pseudomonas spp.,aminoglycoside,125M3
K. pneumoniae 125M3,genome41.fasta,NODE_23_length_91321_cov_13.537337,90119,90955,+,APH(6)-Id,1-837/837,===============,0/0,100.0,99.88,card,AF024602:3155-3992,APH(6)-Id is an aminoglycoside phosphotransferase encoded by plasmids integrative conjugative elements and chromosomal genomic islands in K. pneumoniae Salmonella spp. E. coli Shigella flexneri Providencia alcalifaciens Pseudomonas spp. V. cholerae Edwardsiella tarda Pasteurella multocida and Aeromonas bestiarum,aminoglycoside,125M3
K. pneumoniae 125M3,genome41.fasta,NODE_27_length_83000_cov_6.799375,8076,8429,-,ramA,21-375/375,========/======,1/1,94.4,81.41,card,JQ727668:0-375,RamA (resistance antibiotic multiple) is a positive regulator of AcrAB-TolC and leads to high level multidrug resistance in Klebsiella pneumoniae Salmonella enterica and Enterobacter aerugenes increasing the expression of both the mar operon as well as AcrAB. RamA also decreases OmpF expression.,carbapenem;cephalosporin;cephamycin;fluoroquinolone;glycylcycline;monobactam;penam;penem;phenicol;rifamycin;tetracycline;triclosan,125M3
K. pneumoniae 125M3,genome41.fasta,NODE_29_length_78930_cov_6.465160,27155,30268,-,acrD,1-3114/3114,========/======,2/6,99.9,80.17,card,AP009048.1:2586250-2589364,AcrD is an aminoglycoside efflux pump expressed in E. coli. Its expression can be induced by indole and is regulated by baeRS and cpxAR.,aminoglycoside,125M3
K. pneumoniae 125M3,genome41.fasta,NODE_2_length_250669_cov_7.394509,160196,163340,-,acrB,1-3148/3150,========/======,5/9,99.75,83.85,card,U00096.3:484403-481253,Protein subunit of AcrA-AcrB-TolC multidrug efflux complex. AcrB functions as a herterotrimer which forms the inner membrane component and is primarily responsible for substrate recognition and energy transduction by acting as a drug/proton antiporter.,cephalosporin;fluoroquinolone;glycylcycline;penam;phenicol;rifamycin;tetracycline;triclosan,125M3
